N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	[{"Label": "Prince Philip, Duke of Edinburgh", "Type": "P", "WikidataId": "Q80976", "Confidence": 1.0, "OccurrenceOffsets": [48], "SurfaceForms": ["Prince Philip"]}, {"Label": "Charles, Prince of Wales", "Type": "P", "WikidataId": "Q43274", "Confidence": 1.0, "OccurrenceOffsets": [28], "SurfaceForms": ["Prince Charles"]}, {"Label": "Elizabeth II", "Type": "P", "WikidataId": "Q9682", "Confidence": 0.97, "OccurrenceOffsets": [11], "SurfaceForms": ["Queen Elizabeth"]}]	[]
N7362	autos	autosnews	This Might Be the 2020 Land Rover Defender	A picture that appears to show Land Rover's highly anticipated new off-roader on the set of the new James Bond movie just showed up on Instagram.	https://assets.msn.com/labs/mind/AADzuKU.html	[{"Label": "Land Rover Defender", "Type": "V", "WikidataId": "Q908027", "Confidence": 1.0, "OccurrenceOffsets": [23], "SurfaceForms": ["Land Rover Defender"]}]	[{"Label": "Land Rover", "Type": "O", "WikidataId": "Q35907", "Confidence": 0.979, "OccurrenceOffsets": [31], "SurfaceForms": ["Land Rover"]}, {"Label": "James Bond", "Type": "R", "WikidataId": "Q844", "Confidence": 0.967, "OccurrenceOffsets": [100], "SurfaceForms": ["James Bond"]}]
N51425	autos	autosbuying	Here's how to take over an auto lease	Here's how to get a lease takeover and some things to consider before you do.	https://assets.msn.com/labs/mind/AAI3tKK.html	[]	[]
N20743	lifestyle	lifestylesmartliving	10 Things Women Need To Stop Feeling So Guilty About	Before you start feeling guilty, remember these things.	https://assets.msn.com/labs/mind/AAGeLra.html	[]	[]
N21383	health	medical	Doctors Want FDA To Warn Women About Cheese And Breast Cancer Link	Up to 12,000 members of Physicians Committee for Responsible Medicine agreed that the federal government should add label to cheese products that would warn women about the risk of having breast cancer.	https://assets.msn.com/labs/mind/AAINcGd.html	[{"Label": "Food and Drug Administration", "Type": "O", "WikidataId": "Q204711", "Confidence": 1.0, "OccurrenceOffsets": [13], "SurfaceForms": ["FDA"]}]	[{"Label": "Physicians Committee for Responsible Medicine", "Type": "O", "WikidataId": "Q1057845", "Confidence": 1.0, "OccurrenceOffsets": [24], "SurfaceForms": ["Physicians Committee for Responsible Medicine"]}]
N30012	travel	traveltripideas	The best fall day trip in every state	A day trip in the fall is a great way to experience the views and fun activities the season has to offer without going too far from home.	https://assets.msn.com/labs/mind/AAHxLcR.html	[]	[]
N38397	lifestyle	lifestyleroyals	50 Incredible Photos of the Swedish Royal Family Through the Years	Nearly eight decades of pictures prove these royals have always valued family time.	https://assets.msn.com/labs/mind/AAGj9If.html	[{"Label": "Swedish royal family", "Type": "U", "WikidataId": "Q289564", "Confidence": 1.0, "OccurrenceOffsets": [28], "SurfaceForms": ["Swedish Royal Family"]}]	[]
N33942	autos	autosenthusiasts	Exploring Chevy's First Big-Block in an Idaho Junkyard	Steve Magnante discovers a rare 1960 Impala with a factory four-on-the-floor and 348 big-block, and explores a 348 four-barrel Parkwood station wagon.	https://assets.msn.com/labs/mind/AAHa6MO.html	[{"Label": "Chevrolet", "Type": "O", "WikidataId": "Q29570", "Confidence": 1.0, "OccurrenceOffsets": [10], "SurfaceForms": ["Chevy"]}, {"Label": "V8 engine", "Type": "U", "WikidataId": "Q341174", "Confidence": 0.954, "OccurrenceOffsets": [24], "SurfaceForms": ["Big-Block"]}]	[{"Label": "Ferrari 348", "Type": "V", "WikidataId": "Q428064", "Confidence": 1.0, "OccurrenceOffsets": [81, 111], "SurfaceForms": ["348", "348"]}, {"Label": "V8 engine", "Type": "U", "WikidataId": "Q341174", "Confidence": 0.954, "OccurrenceOffsets": [85], "SurfaceForms": ["big-block"]}, {"Label": "Chevrolet Impala", "Type": "V", "WikidataId": "Q226062", "Confidence": 1.0, "OccurrenceOffsets": [37], "SurfaceForms": ["Impala"]}]
N56840	lifestyle	shop-all	Ultra-Luxe Bridal Shower Hostess Gift Ideas	We're taking traditional 'thank you' gifting to the next level.	https://assets.msn.com/labs/mind/AAE5ntR.html	[]	[]
N10122	entertainment	gaming	These are the best o' the best PC games available today	In many regards, PC gamers have it better than their console counterparts. One reason why is the sheer breadth of titles available, but this can make it difficult to keep up with the best titles on the platform. We're here to help you out with a shortlist of PC games you need to play   both new and old. Even though it's a few years old (and frankly an obvious choice), The Witcher 3 remains our top pick. Best Overall: The Witcher 3 This choice...	https://assets.msn.com/labs/mind/AAJaByx.html	[]	[{"Label": "The Witcher 3: Wild Hunt", "Type": "W", "WikidataId": "Q4267401", "Confidence": 1.0, "OccurrenceOffsets": [371, 425], "SurfaceForms": ["The Witcher 3", "Witcher 3"]}]
N50158	travel	traveltripideas	Crockett Row adds 2 bar-restaurants, but also hooks a big one: Dallas' The Blue Fish	FORT WORTH -- Here's the new math at Crockett Row after last week's shakeup: One very good restaurant was subtracted. Two more bars were added. But another very good restaurant and bar is coming soon. The Blue Fish, a Greenville Avenue landmark for 20 years, will open its seventh location on Crockett Row The sushi-sake-martini bar will open at 2932 Crockett St., in the space that was ...	https://assets.msn.com/labs/mind/AAJwgV0.html	[{"Label": "Dallas", "Type": "G", "WikidataId": "Q16557", "Confidence": 0.963, "OccurrenceOffsets": [63], "SurfaceForms": ["Dallas"]}]	[{"Label": "Fort Worth, Texas", "Type": "G", "WikidataId": "Q16558", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["FORT WORTH"]}]
N1586	entertainment	entertainment-books	Ann Patchett spins a dark, compelling fairy tale in The Dutch House	The Dutch House review: Ann Patchett spins a dark fairy tale	https://assets.msn.com/labs/mind/AAHtFVW.html	[{"Label": "Ann Patchett", "Type": "P", "WikidataId": "Q433485", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Ann Patchett"]}]	[{"Label": "Ann Patchett", "Type": "P", "WikidataId": "Q433485", "Confidence": 1.0, "OccurrenceOffsets": [24], "SurfaceForms": ["Ann Patchett"]}]
N32006	foodanddrink	recipes	17 Easy Fall Slow-Cooker Recipes That Taste Like Autumn	You can even prep these and freeze them for later!	https://assets.msn.com/labs/mind/AAGKPIP.html	[{"Label": "Slow cooker", "Type": "C", "WikidataId": "Q642345", "Confidence": 1.0, "OccurrenceOffsets": [13], "SurfaceForms": ["Slow-Cooker"]}]	[]
N9900	health	nutrition	32 Best Good-Mood Foods	There are plenty of foods with proven mood-boosting benefits that can help you get happier and healthier with every bite.	https://assets.msn.com/labs/mind/AABc5fE.html	[]	[]
N46688	health	nutrition	'Souping': Should you try it?	Regularly eating soup is comforting and filling might help you shed some unwanted pounds.	https://assets.msn.com/labs/mind/AAJJbDG.html	[]	[]
N6536	foodanddrink	newstrends	The Best Dishes the Eater Boston Team Ate This Week	We're sharing some of our current favorite dishes with you every Friday	https://assets.msn.com/labs/mind/AAHfWvP.html	[{"Label": "This Week (magazine)", "Type": "C", "WikidataId": "Q7786369", "Confidence": 0.928, "OccurrenceOffsets": [42], "SurfaceForms": ["This Week"]}]	[]
N24153	travel	travelarticle	The Long, Hard Road: Find all of our stories in the yearlong series here	The Long, Hard Road, series tells the stories of people who live, work and struggle along 80 miles in the heart of Greater Cincinnati.	https://assets.msn.com/labs/mind/AAHxMmq.html	[]	[{"Label": "Cincinnati metropolitan area", "Type": "G", "WikidataId": "Q5120360", "Confidence": 1.0, "OccurrenceOffsets": [115], "SurfaceForms": ["Greater Cincinnati"]}]
N3570	video	news	Grandfather charged in fatal child's fall	An 18-month-old girl died after falling from a window on a Royal Caribbean cruise ship. The child's grandfather has been charged with negligent homicide in her death.	https://assets.msn.com/labs/mind/AAE5w1B.html	[]	[{"Label": "Royal Caribbean International", "Type": "O", "WikidataId": "Q929872", "Confidence": 1.0, "OccurrenceOffsets": [59], "SurfaceForms": ["Royal Caribbean"]}]
N7182	travel	travelarticle	5 ways to enjoy your week in Nashville	Looking for fun, entertaining events and activities to check out in Nashville this week? Here are top picks with dates, times, locations and ticket links.	https://assets.msn.com/labs/mind/AAISHkX.html	[{"Label": "Nashville, Tennessee", "Type": "G", "WikidataId": "Q23197", "Confidence": 0.999, "OccurrenceOffsets": [29], "SurfaceForms": ["Nashville"]}]	[{"Label": "Nashville, Tennessee", "Type": "G", "WikidataId": "Q23197", "Confidence": 0.999, "OccurrenceOffsets": [68], "SurfaceForms": ["Nashville"]}]
N50742	health	health-news	This Bride Got a Wedding Redo After Losing 100 Pounds	Cherie Judd's weight loss journey started as she dreamed of her perfect wedding after her boyfriend proposed.	https://assets.msn.com/labs/mind/AAHtH8f.html	[]	[]
N25631	health	weightloss	Grocery delivery man who tipped the scales at 520 lbs loses a whopping 300 LBS by buying the same food as his fitter customers - and carrying their bags up flights of stairs	Antonio Martinez weighed over 500 lbs. and had a high-fat fast food habit. When his wife wanted to start a family, he shook things up and got a job delivering groceries.	https://assets.msn.com/labs/mind/AAGKRCN.html	[]	[]
N19028	news	newspolitics	Former Trump advisor John Bolton's lawyers are in contact with impeachment probe panels	Lawyers for former national security adviser John Bolton have been in touch with officials working on House committees about possibly testifying.	https://assets.msn.com/labs/mind/AAJl4z9.html	[{"Label": "John R. Bolton", "Type": "P", "WikidataId": "Q311269", "Confidence": 0.999, "OccurrenceOffsets": [21], "SurfaceForms": ["John Bolton"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.982, "OccurrenceOffsets": [7], "SurfaceForms": ["Trump"]}]	[{"Label": "John R. Bolton", "Type": "P", "WikidataId": "Q311269", "Confidence": 0.999, "OccurrenceOffsets": [45], "SurfaceForms": ["John Bolton"]}]
N51601	lifestyle	lifestylepetsanimals	21 adorable photos of dogs cuddling tigers, ducks, and other animals that prove they're not just man's best friend	From a leopard making friends with a dog in South Africa to a dog resting on a buffalo in Pakistan, see unlikely animal friendships around the world.	https://assets.msn.com/labs/mind/AAFftqm.html	[]	[{"Label": "Pakistan", "Type": "G", "WikidataId": "Q843", "Confidence": 0.998, "OccurrenceOffsets": [90], "SurfaceForms": ["Pakistan"]}, {"Label": "South Africa", "Type": "G", "WikidataId": "Q258", "Confidence": 0.98, "OccurrenceOffsets": [44], "SurfaceForms": ["South Africa"]}]
N38633	sports	racing	The Action Network: Early pick with best value for Kansas	The Action Network specializes in providing sports betting insights/analytics and is a content partner with NASCAR. Check out more NASCAR betting analysis here. Last week we pegged Michael McDowell and his 100-1 odds as a soild bet to make before cars hit the track at Talladega. McDowell gave us a nice sweat, contending for a […]	https://assets.msn.com/labs/mind/AAISxtK.html	[{"Label": "The Action Network", "Type": "N", "WikidataId": "Q56291134", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["The Action Network"]}]	[{"Label": "Michael McDowell (racing driver)", "Type": "P", "WikidataId": "Q1928582", "Confidence": 1.0, "OccurrenceOffsets": [181, 280], "SurfaceForms": ["Michael McDowell", "McDowell"]}, {"Label": "The Action Network", "Type": "N", "WikidataId": "Q56291134", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["The Action Network"]}, {"Label": "NASCAR", "Type": "U", "WikidataId": "Q233929", "Confidence": 0.995, "OccurrenceOffsets": [108, 131], "SurfaceForms": ["NASCAR", "NASCAR"]}, {"Label": "Talladega Superspeedway", "Type": "U", "WikidataId": "Q1547320", "Confidence": 0.996, "OccurrenceOffsets": [269], "SurfaceForms": ["Talladega"]}]
N11161	video	news	Bernie Sanders slams GOP for not standing up to Trump	Sen. Bernie Sanders (I-VT) appeared on "Jimmy Kimmel Live," where he shared his thoughts on the Republican's response to the impeachment inquiry into President Trump.	https://assets.msn.com/labs/mind/AAJgRRx.html	[{"Label": "Bernie Sanders", "Type": "P", "WikidataId": "Q359442", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Bernie Sanders"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.964, "OccurrenceOffsets": [48], "SurfaceForms": ["Trump"]}, {"Label": "Republican Party (United States)", "Type": "O", "WikidataId": "Q29468", "Confidence": 1.0, "OccurrenceOffsets": [21], "SurfaceForms": ["GOP"]}]	[{"Label": "Progressivism in the United States", "Type": "U", "WikidataId": "Q4379869", "Confidence": 1.0, "OccurrenceOffsets": [21], "SurfaceForms": ["I-VT"]}, {"Label": "Bernie Sanders", "Type": "P", "WikidataId": "Q359442", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Sen. Bernie Sanders"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.964, "OccurrenceOffsets": [150], "SurfaceForms": ["President Trump"]}]
N47866	autos	autosnews	Mid-Engined Chevy Corvette Rear End Design Possibly Leaked	As far as leaks go, this is a big one.	https://assets.msn.com/labs/mind/AAE0x2M.html	[{"Label": "Mid-engine design", "Type": "U", "WikidataId": "Q762891", "Confidence": 0.994, "OccurrenceOffsets": [0], "SurfaceForms": ["Mid-Engined"]}]	[]
N45493	autos	autosnews	2021 BMW iNEXT Spied Looking Almost Production Ready	These two prototypes are very different than the ones we've seen prior.	https://assets.msn.com/labs/mind/AAEOwBE.html	[]	[]
N32907	health	healthagingwell	Now That I'm Over 50, I'm Finally Sucking It Up And Getting In Shape	When my health insurance plan offered a free membership at the fitness center of my choice, how could I refuse?	https://assets.msn.com/labs/mind/AABcBVL.html	[]	[]
N17602	health	mentalhealth	How To Reach Out If Your Friend Is Struggling With Their Mental Health	Reaching out to check in on someone who struggles with their mental health might feel awkward at first   and that's OK.	https://assets.msn.com/labs/mind/AAF4vIo.html	[]	[]
N65225	sports	racing	What channel is NASCAR on today? Time, TV schedule for Kansas race	Sunday's NASCAR race returns to NBC as the TV channel, and the start time for the race at Kansas is 2:30 p.m. ET. Here is how to watch today's NASCAR race at Kansas.	https://assets.msn.com/labs/mind/AAJ45ae.html	[{"Label": "NASCAR", "Type": "U", "WikidataId": "Q233929", "Confidence": 0.985, "OccurrenceOffsets": [16], "SurfaceForms": ["NASCAR"]}]	[{"Label": "NASCAR", "Type": "U", "WikidataId": "Q233929", "Confidence": 0.985, "OccurrenceOffsets": [9, 143], "SurfaceForms": ["NASCAR", "NASCAR"]}]
N49505	tv	tvnews	All the Things You Didn't Know About 'The Crown'	Claire Foy worried that joining the show was "the worst mistake" of her life.	https://assets.msn.com/labs/mind/AAGjm53.html	[{"Label": "The Crown (TV series)", "Type": "W", "WikidataId": "Q20707362", "Confidence": 0.948, "OccurrenceOffsets": [38], "SurfaceForms": ["The Crown"]}, {"Label": "Do You Know (Michelle Williams album)", "Type": "W", "WikidataId": "Q3033250", "Confidence": 1.0, "OccurrenceOffsets": [19], "SurfaceForms": ["Didn't Know"]}]	[{"Label": "Claire Foy", "Type": "P", "WikidataId": "Q258999", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Claire Foy"]}]
N57991	lifestyle	lifestylebuzz	The Problematic Politics Of Style And Gender Identity In The Workplace	Queer. Black. Woman. Nonbinary. Masculine. Feminine. Those are all parts of myself that I've embodied throughout my life but could never fully grasp at once. Most of the time, they felt like pieces that I should pick up, put down, shift, express or hide in order to show up as a version of myself that people around me could easily digest. It took me years to come out as queer to my strict, religious, Haitian mother out of fear of rejection. I...	https://assets.msn.com/labs/mind/AAHaLfK.html	[]	[]
N45908	news	newsscienceandtechnology	Exclusive: our favorite All-Clad cookware is up to 70% off right now	Plus free shipping during this exclusive Cookware Week sale.	https://assets.msn.com/labs/mind/AAISHmJ.html	[{"Label": "All-Clad", "Type": "O", "WikidataId": "Q498515", "Confidence": 1.0, "OccurrenceOffsets": [24], "SurfaceForms": ["All-Clad"]}]	[]
N54975	sports	baseball_mlb	Iowa native, veteran MLB umpire Eric Cooper dead at 52	Iowa native Eric Cooper was on the field for some big baseball moments during his umpiring career.	https://assets.msn.com/labs/mind/AAJ4O4z.html	[{"Label": "Eric Cooper", "Type": "P", "WikidataId": "Q5386304", "Confidence": 1.0, "OccurrenceOffsets": [32], "SurfaceForms": ["Eric Cooper"]}, {"Label": "Major League Baseball", "Type": "O", "WikidataId": "Q1163715", "Confidence": 1.0, "OccurrenceOffsets": [21], "SurfaceForms": ["MLB"]}, {"Label": "Iowa", "Type": "G", "WikidataId": "Q1546", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["Iowa"]}]	[{"Label": "Eric Cooper", "Type": "P", "WikidataId": "Q5386304", "Confidence": 1.0, "OccurrenceOffsets": [12], "SurfaceForms": ["Eric Cooper"]}, {"Label": "Iowa", "Type": "G", "WikidataId": "Q1546", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["Iowa"]}]
N42669	movies	movievideo	Trailer - Terminator: Dark Fate	Trailer 3	https://assets.msn.com/labs/mind/AAGKRy5.html	[]	[]
N58551	health	video	Texas man loses over 200 pounds to become a deputy	Deputy Chad Dodge details his weight loss journey that made his law enforcement dreams come true on 'Fox & Friends.'	https://assets.msn.com/labs/mind/AAIzmIa.html	[{"Label": "Texas", "Type": "G", "WikidataId": "Q1439", "Confidence": 0.994, "OccurrenceOffsets": [0], "SurfaceForms": ["Texas"]}]	[]
